Affiliation,K2_count,Kepler_count,CarnegieClass
CEA/DSM - CNRS - Université Paris Diderot - IRFU/SAp,,1,-2.0
CEA/DRF-Université Paris Diderot-CNRS,,1,-2.0
Universiteit Gent,,1,-2.0
Universiteit Hasselt,,1,-2.0
Universitetskii pr. 13 Moscow,,1,-2.0
University Blvd.,,1,-2.0
CEA/CNRS/University of Paris 7,,1,-2.0
CAN. McGill Space Institute,,1,-2.0
Observatório Nacional/MCTIC,,1,-2.0
Byurakan Astrophysical Observatory,,1,-2.0
University at Albany,,1,-2.0
Bu-Ali Sina University,,1,-2.0
University of Coimbra,,1,-2.0
Bu Ali Sina University,,1,-2.0
Brown University,,1,15.0
University of Bordeaux,,1,-2.0
University of British Columbia 6224 Agricultural Road Vancouver,,1,-2.0
Brevard College,,1,22.0
University of California-Davis,,1,15.0
University of California-Riverside,,1,15.0
Boulevard de l'Observatoire,,1,-2.0
University of Canterbury,,1,-2.0
Blue Marble Space Institute of Science,,1,-3.0
University of Chinese Academy of Sciences,,1,-2.0
University of Sydney 2006,,1,-2.0
University of Sydney NSW 2006,,1,-2.0
University of Szeged,,1,-2.0
Washington University in St Louis,,1,15.0
Université de Montréal. 2900 boul. douard-Montpetit,,1,-2.0
Université de Nice Sophia-Antipolis,,1,-2.0
Université de Nice-Sophia Antipolis,,1,-2.0
Université de Nice-Sophie Antipolis,,1,-2.0
211 Bryant Space Science Center PO Box 112055 Gainesville,,1,-2.0
Université de Toulouse / CNRS-INSU,,1,-2.0
Université de Toulouse/CNRS-INSU,,1,-2.0
Vatican Observatory Research Group,,1,-2.0
Vihorlat Observatory,,1,-2.0
Vrije Universiteit,,1,-2.0
Warsaw University Astronomical Observatory,,1,-2.0
Wyle Laboratories,,1,-2.0
5491 Frist Center,,1,-2.0
Westminster College,,1,21.0
Williams College,,1,21.0
Wrocław University,,1,-2.0
X-Ray and Observational Astronomy Group,,1,-2.0
X-ray and Observational Astronomy Group,,1,-2.0
University of Maryland-College Park,,1,-2.0
Youngstown State University,,1,18.0
NRC,,1,-2.0
NASA Jet Propulstion Laboratory (JPL),,1,-2.0
and Dunlap Institute of Astronomy and Astrophysics,,1,-2.0
Çanakkale Onsekiz Mart University,,1,-2.0
3450 rue University,,1,-2.0
73 Vasil Drumev str. and Institute of Astronomy,,1,-2.0
University of Tampa,,1,18.0
Universität Duisburg-Essen,,1,-2.0
University of Texas at El Paso,,1,15.0
Alternative Energies and Atomic Energy Commission (CEA)/Physical Sciences Division (DSM)─Centre National d'Études Spatiales (CNRS)─Université Paris Diderot─Institute of Research into the Fundamental Laws of the Universe (IRFU)/Service d'Astrophysique (SAp),,1,-2.0
University of Toronto Mississauga,,1,-2.0
University of Victoria,,1,-2.0
University of Victoria (Canada),,1,-2.0
Alma Mater Studiorum - University of Bologna,,1,-2.0
University of Washington-Seattle Campus,,1,15.0
University of Zanjan,,1,-2.0
Acharya Narendra Dev College,,1,-2.0
Academia Sinica Institute of Astronomy and Astrophysics,,1,-2.0
Universitá di Padova,,1,-2.0
Universität Heidelberg,,1,-2.0
Université Paris-Sud 11 and CNRS (UMR 8617),,1,-2.0
Universität Jena,,1,-2.0
Universitäts-Sternwarte,,1,-2.0
Universitätsplatz 5/II,,1,-2.0
Université Aix-Marseille,,1,-2.0
Université Aix-Marseille &amp,,1,-2.0
Université Bordeaux,,1,-2.0
Université Denis,,1,-2.0
Université Joseph Fourier,,1,-2.0
Université Paris 6,,1,-2.0
Aarhus Universitet,,1,-2.0
Université Paris Diderot-IRFU/SAp,,1,-2.0
Universitat de València,,1,-2.0
University Park PA 16802,,1,-2.0
State University of Feira de Santana,,1,-2.0
Sterrenkundig Observatorium,,1,-2.0
SAAO South African Astronomical Observatory,,1,-2.0
SZTE Baja Astronomical Observatory,,1,-2.0
Saint Petersburg State University,,1,-2.0
San Jose State University/NASA-Ames Research Center,,1,-2.0
Schenectady County Community College,,1,3.0
School of Astronomy Institute for Research in Fundamental Sciences (IPM),,1,-2.0
School of Physical Sciences and Centre for Astrophysics &amp,,1,-2.0
Scientific Research Institute Crimean Astrophysical Observatory,,1,-2.0
Scottish Universities Physics Alliance,,1,-2.0
Shandong University,,1,-2.0
Shanghai Astronomical Observatory (SHAO),,1,-2.0
Sheffield Hallam University,,1,-2.0
Centre of Astronomy and Astrophysics,,1,-2.0
Sichuan University of Science Engineering,,1,-2.0
South Carolina State University,,1,20.0
Centre for Exoplanets and Habitability,,1,-2.0
Spanish Virtual Observatory,,1,-2.0
Special Astrophysical Observatory,,1,-2.0
St. John's College,,1,21.0
Centre de Recherche Astrophysique de Lyon (CRAL),,1,-2.0
State University,,1,-2.0
Universidade do Porto CAUP,,1,-2.0
Stellar Astrophysics Center,,1,-2.0
Central Astronomical Observatory at Pulkovo of Russian Academy of Sciences,,1,-2.0
Sternberg Astronomical Institute of Lomonosov Moscow State University,,1,-2.0
Russia andPushkov Institute of Terrestrial Magnetism,,1,-2.0
Rudolf Peierls Centre for oretical Physics,,1,-2.0
China University of Petroleum─Beijing at Karamay,,1,-2.0
College Hill Armagh,,1,-2.0
Odessa National University,,1,-2.0
Ohio Wesleyan University,,1,21.0
Oklahoma Baptist University,,1,20.0
Oskar Klein Centre,,1,-2.0
College of Physics and Electronic Information,,1,-2.0
P.N. Lebedev Physical Institute,,1,-2.0
PSL Université,,1,-2.0
College of Graduate Studies,,1,-2.0
Paul Scherrer Institute,,1,-2.0
College of Arts and Sciences,,1,-2.0
College Lane Campus,,1,-2.0
Pisgah Astronomical Research Institute,,1,-2.0
Royal Military College of Canada,,1,-2.0
Principia College,,1,21.0
Provincia de Buenos Aires - Universidad Tecnológica Nacional (UTN),,1,-2.0
Pulkovo Observatory of the Russian Academy of Sciences,,1,-2.0
Chukyo University,,1,-2.0
Chongqing Normal University,,1,-2.0
Renmin University of China,,1,-2.0
Research Center for Astronomy and Applied Mathematics,,1,-2.0
Research Centre of Astronomy and Earth Sciences,,1,-2.0
Research Institute for Applied Physics and Astronomy,,1,-2.0
Research Institute for Astronomy and Astrophysics of Maragha (RIAAM),,1,-2.0
Rice University,,1,15.0
Sternberg Astronomical Institute of Moscow University,,1,-2.0
Institute for Computational Modelling,,1,-2.0
Center for space and habitability,,1,-2.0
UK Centre for Astrobiology,,1,-2.0
Universidad de Granada,,1,-2.0
Technion-Israel Institute of Technology,,1,-2.0
Technion: Israel Institute of Technology,,1,-2.0
California State Polytechnic University-Pomona,,1,18.0
Technion—Israel Institute of Technology,,1,-2.0
Universidad de Antioquia Calle 70 No. 52-21,,1,-2.0
Center for Imaging Science,,1,-2.0
Universidad Nacional de La Plata and Instituto de Astrofísica de La Plata,,1,-2.0
Thomas More College of Liberal Arts,,1,21.0
Universidad Diego Portales,,1,-2.0
Tokai University,,1,-2.0
Universidad De Atacama,,1,-2.0
Universidad Autonóma de Nuevo León,,1,-2.0
Tokyo University of Science,,1,-2.0
